mac,hour_of_day,day_of_week,times_seen,lat,lon
00:A0:DE:88:28:FB,2,4,1,,
BC:FF:4D:0F:47:43,2,4,1,,
6C:40:08:B9:A2:38,2,4,1,,
30:05:5C:5C:AC:B7,2,4,1,,
D0:21:F9:93:D2:FD,2,4,1,,
76:C9:5E:AA:7F:11,2,4,1,,
D0:21:F9:93:D1:F7,2,4,1,,
D0:21:F9:93:D1:EB,2,4,1,,
CC:40:D0:C7:43:C8,2,4,1,,
2C:B4:3A:19:B9:BE,2,4,1,,
30:6A:85:9C:29:10,2,4,1,,
22:B0:85:8A:1A:54,2,4,1,,
C4:EA:1D:63:8C:F2,2,4,1,,
62:22:32:1B:C7:07,2,4,1,,
D0:21:F9:93:38:5F,2,4,1,,
80:30:49:22:5E:F3,2,4,1,,
A0:B5:3C:C5:11:96,2,4,1,,
AC:44:F2:41:6F:5B,2,4,1,,
20:C3:8F:ED:16:C9,2,4,1,,
00:11:32:FF:43:E5,2,4,1,,
00:24:9B:6E:33:D0,2,4,1,,
8C:C6:81:57:CC:FE,2,4,1,,
D0:DB:B7:95:76:ED,2,4,2,,
AC:D0:74:87:4C:EF,2,4,1,,
02:4B:54:59:0C:5E,2,4,1,,
7E:9D:64:8E:11:A5,2,4,1,,
76:A7:7E:A9:97:14,2,4,1,,
CA:A7:CF:F5:B7:FA,2,4,1,,
1C:61:B4:36:D9:17,3,4,42,,
6A:FE:F7:A9:90:64,3,4,28,,
D8:3A:DD:01:24:17,3,4,42,115.862385,-32.00617
D8:3A:DD:01:24:17,3,4,42,115.862808,-32.006202
D8:3A:DD:01:24:17,3,4,42,115.869687,-32.007305
D8:3A:DD:01:24:17,3,4,42,115.876077,-32.012123
D8:3A:DD:01:24:17,3,4,42,115.891678,-32.012992
D8:3A:DD:01:24:17,3,4,42,115.900487,-32.012035
D8:3A:DD:01:24:17,3,4,42,115.89791,-32.006012
D8:3A:DD:01:24:17,3,4,42,115.897055,-32.006327
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
