mac,hour_of_day,day_of_week,times_seen,lat,lon
98:EE:CB:47:6C:F3,9,4,2,,
DE:D7:DE:06:9B:A1,9,4,1,,
9C:30:5B:44:B4:BF,9,4,1,,
28:7F:CF:ED:14:35,9,4,1,,
6C:4A:85:42:69:82,9,4,1,,
CA:6D:31:C5:3C:27,9,4,1,,
C4:EA:1D:63:8C:F2,9,4,1,,
FA:AC:A3:08:8E:44,9,4,1,,
1C:1A:DF:B7:70:2A,9,4,1,,
F0:23:B9:EB:40:7D,9,4,3,,
00:11:32:FF:43:E5,9,4,3,,
4C:22:F3:72:66:2B,9,4,2,,
D0:21:F9:93:D1:EB,9,4,2,,
62:22:32:1B:C7:07,9,4,3,,
00:04:4B:B8:A1:E2,9,4,2,,
D0:21:F9:93:D2:FD,9,4,2,,
A4:77:F3:01:30:B0,9,4,2,,
78:AB:BB:93:59:3D,9,4,2,,
7E:55:E5:72:32:3D,9,4,2,,
5A:12:D1:09:29:E5,9,4,2,,
D0:21:F9:93:D1:F7,9,4,2,,
BC:FF:4D:0F:47:43,9,4,2,,
4C:20:B8:E5:61:EF,9,4,1,,
1C:61:B4:36:D9:17,9,4,23,,
A4:77:F3:04:4B:04,9,4,2,,
FE:34:AB:04:16:00,9,4,2,,
D0:21:F9:93:38:5F,9,4,3,,
34:68:95:9D:39:32,9,4,2,,
BE:10:D5:53:C9:57,9,4,2,,
1A:B1:ED:6C:18:2D,9,4,2,,
D8:3A:DD:01:24:17,9,4,23,115.850418,-31.972718
D8:3A:DD:01:24:17,9,4,23,115.850402,-31.9727
D8:3A:DD:01:24:17,9,4,23,115.850607,-31.972602
D8:3A:DD:01:24:17,9,4,23,115.851795,-31.972925
D8:3A:DD:01:24:17,9,4,23,115.852137,-31.973107
D8:3A:DD:01:24:17,9,4,23,115.852413,-31.972843
D8:3A:DD:01:24:17,9,4,23,115.852378,-31.972855
D8:3A:DD:01:24:17,9,4,23,115.852415,-31.972895
D8:3A:DD:01:24:17,9,4,23,115.852408,-31.972873
D8:3A:DD:01:24:17,9,4,23,115.852475,-31.972832
D8:3A:DD:01:24:17,9,4,23,115.852395,-31.972902
D8:3A:DD:01:24:17,9,4,23,115.85241,-31.972848
D8:3A:DD:01:24:17,9,4,23,115.852337,-31.972878
D8:3A:DD:01:24:17,9,4,23,115.852485,-31.972818
D8:3A:DD:01:24:17,9,4,23,115.852473,-31.972812
D8:3A:DD:01:24:17,9,4,23,115.852272,-31.972882
CC:F9:57:66:6E:3D,9,4,1,,
AC:44:F2:41:6F:5B,9,4,3,,
D8:61:62:73:11:DD,9,4,2,,
00:24:9B:6E:33:D0,9,4,1,,
8C:B8:7E:58:67:22,9,4,2,,
F6:1D:50:AB:A6:CE,9,4,1,,
46:B5:56:08:EE:28,9,4,2,,
9E:82:38:26:BD:AC,9,4,1,,
50:57:9C:4A:BB:39,9,4,1,,
3C:06:30:44:0E:15,9,4,1,,
2C:B4:3A:19:B9:BE,9,4,1,,
CC:7E:E7:7B:C4:39,9,4,1,,
A2:C9:EB:F7:AE:C0,9,4,1,,
70:09:71:22:F6:44,9,4,1,,
F0:B4:D2:5D:A6:6C,9,4,1,,
B0:C5:54:4E:95:88,9,4,1,,
00:25:00:FF:94:73,9,4,21,,
BE:93:E5:39:0A:34,9,4,1,,
42:03:93:6C:90:CD,9,4,1,,
E0:B9:E5:9E:4E:AE,9,4,2,,
DC:E5:5B:86:89:DB,9,4,1,,
7E:8B:9D:C1:B2:6E,9,4,1,,
14:EB:B6:05:F9:8C,9,4,1,,
A2:8F:34:0F:70:78,9,4,1,,
20:1F:3B:01:9D:70,9,4,1,,
BC:0F:9A:69:16:40,9,4,1,,
A0:B5:3C:C5:11:96,9,4,1,,
4C:CC:6A:CC:70:02,9,4,1,,
20:C3:8F:ED:16:C9,9,4,1,,
AC:D0:74:87:4C:EF,9,4,1,,
44:EA:D8:F1:F9:A5,9,4,1,,
C0:06:C3:45:D8:74,9,4,1,,
52:7E:ED:4C:94:E5,9,4,1,,
FA:1A:2B:09:0B:35,9,4,1,,
D0:DB:B7:3D:25:83,9,4,1,,
54:64:D9:C3:0B:4F,9,4,1,,
10:2B:41:15:22:AE,9,4,1,,
5C:AA:FD:1C:68:9D,9,4,1,,
DC:A2:66:66:3C:C9,9,4,1,,
54:60:09:8E:63:F0,9,4,1,,
64:FD:96:C3:10:5D,9,4,1,,
E8:FC:AF:E6:20:92,9,4,1,,
D0:73:D5:54:4A:5E,9,4,1,,
12:F5:76:09:E5:E7,9,4,1,,
8E:88:71:BA:66:57,9,4,1,,
56:40:64:1F:63:A5,9,4,1,,
92:D0:D4:88:85:18,9,4,1,,
26:60:61:13:AB:89,9,4,1,,
18:C0:4D:0E:6A:F0,9,4,1,,
00:09:B0:EE:C5:C8,9,4,1,,
14:C1:4E:57:BE:F4,9,4,2,,
7C:2E:BD:EE:D0:57,9,4,2,,
02:0F:B5:EE:C5:C8,9,4,1,,
DC:A6:32:4B:0F:D6,9,4,1,,
C6:E9:0A:80:FB:08,9,4,1,,
28:24:FF:10:C2:BF,9,4,1,,
1C:F2:9A:FC:85:A0,9,4,1,,
84:B8:B8:03:F9:25,9,4,1,,
D0:DB:B7:59:1B:13,9,4,1,,
8E:49:A1:90:29:25,9,4,1,,
7A:4A:A8:3A:DB:16,9,4,1,,
70:09:71:A1:89:8A,9,4,1,,
66:30:FD:C9:37:6D,9,4,1,,
C0:95:6D:46:AF:7A,9,4,2,,
30:DE:4B:A9:FA:60,9,4,1,,
96:9C:BA:E2:FE:56,9,4,1,,
B6:2F:73:21:51:D1,9,4,1,,
DC:E5:5B:65:A6:C7,9,4,1,,
1C:F2:9A:4E:22:66,9,4,1,,
D8:8C:79:32:7E:1F,9,4,1,,
14:C1:4E:0F:71:05,9,4,1,,
A2:B5:3C:8E:8A:D0,9,4,1,,
A0:B5:3C:8E:0A:C7,9,4,1,,
DA:A1:19:C7:8F:4A,9,4,1,,
D4:CA:6E:0A:42:E5,9,4,1,,
DA:A1:19:76:90:72,9,4,1,,
DA:A1:19:1D:75:59,9,4,1,,
DA:A1:19:A6:45:53,9,4,1,,
80:47:86:6E:20:90,9,4,1,,
18:69:D8:11:D1:A4,9,4,1,,
4E:2E:46:0E:DF:E7,9,4,1,,
74:AC:B9:C2:AB:5F,9,4,1,,
76:AC:B9:C0:AB:5F,9,4,1,,
7E:1D:E5:93:E6:4A,9,4,1,,
F2:02:AE:D6:F8:1A,9,4,1,,
54:BD:79:B0:B7:46,9,4,1,,
F0:72:EA:08:85:D2,9,4,1,,
90:48:6C:01:4A:67,9,4,1,,
B0:E4:D5:26:06:ED,9,4,1,,
00:0E:58:2A:D1:76,9,4,1,,
FA:3F:63:88:A5:2E,9,4,1,,
20:D7:78:A8:AC:AA,9,4,1,,
5C:AA:FD:A2:35:B8,9,4,1,,
B2:A0:A5:28:E6:42,9,4,1,,
78:28:CA:AB:55:4D,9,4,1,,
78:28:CA:A5:2F:3F,9,4,1,,
9C:A3:AA:94:2A:5E,9,4,1,,
44:D4:53:21:38:63,9,4,1,,
C6:06:C3:7A:04:43,9,4,1,,
EC:FA:BC:77:E6:52,9,4,1,,
3C:8D:20:5C:09:00,9,4,1,,
D6:35:1D:DC:16:31,9,4,1,,
BC:51:FE:70:D8:7D,9,4,1,,
DC:9F:DB:A6:34:24,9,4,3,115.850932,-31.973493
00:06:C6:5E:60:49,9,4,5,,
CA:05:43:AB:4C:85,9,4,5,,
64:B5:F2:A1:96:7D,9,4,1,,
D4:35:1D:91:53:EF,9,4,1,,
CC:F9:57:44:53:F9,9,4,1,,
AC:84:C6:52:F7:32,9,4,1,,
AC:84:C6:52:F7:30,9,4,1,,
F8:CA:59:47:B9:DC,9,4,1,,
B2:54:7C:48:AA:FF,9,4,1,,
20:B0:01:BE:8D:5D,9,4,1,,
38:68:A4:1C:EA:78,9,4,1,,
66:32:B1:E5:0B:3A,9,4,1,,
C4:71:54:1E:91:F8,9,4,1,,
8C:3B:AD:06:D5:98,9,4,1,,
66:18:AE:BB:71:F8,9,4,1,,
9E:EB:9F:CE:3E:92,9,4,1,,
5C:AA:FD:5D:D0:97,9,4,1,,
5C:AA:FD:5D:D1:7F,9,4,1,,
36:7B:5C:21:C2:DD,9,4,1,,
9A:CA:E0:25:13:1B,9,4,1,,
30:C3:D9:CB:4A:07,9,4,2,,
FA:B5:7F:D4:2F:0D,9,4,1,,
BA:98:61:92:E8:BB,9,4,1,,
80:CE:62:F6:6F:01,9,4,1,,
B8:E9:37:91:23:02,9,4,1,,
A0:B5:3C:3A:9B:82,9,4,1,,
76:FC:4C:82:CB:17,9,4,1,,
34:7E:5C:13:ED:ED,9,4,1,,
24:69:8E:B8:1A:79,9,4,1,,
56:F0:29:A5:CC:DD,9,4,1,,
96:1A:80:71:77:4A,9,4,1,,
2C:36:F8:4B:72:A4,9,4,1,,
52:54:4C:83:09:E0,9,4,1,,
E0:50:8B:66:BA:E8,9,4,1,,
32:E2:65:C9:0F:BA,9,4,1,,
3C:61:05:C1:5A:6B,9,4,1,,
E6:D6:4C:CC:13:47,9,4,1,,
50:02:91:0C:87:9F,9,4,1,,
48:3F:DA:90:ED:36,9,4,1,,
E0:CA:94:E7:96:4B,9,4,1,,
22:48:2C:C4:CC:6C,9,4,1,,
BE:54:44:BA:30:D4,9,4,1,,
E4:F7:5B:CC:29:E2,9,4,1,,
E4:F7:5B:CC:29:E0,9,4,1,,
CA:6E:8F:5B:E2:2E,9,4,1,,
78:C4:0E:84:D3:AF,9,4,1,,
70:3A:CB:94:15:4B,9,4,1,,
70:3A:CB:94:15:45,9,4,1,,
B4:E4:54:FC:9D:90,9,4,1,,
40:CA:63:9F:E8:2A,9,4,1,,
CA:89:F8:0B:BD:08,9,4,1,,
1A:87:61:F1:BA:70,9,4,1,,
CA:61:35:66:6E:BA,9,4,1,,
